site_name,A,B,C,D,E,F,G,H,I,J
A,81,81,887,1114,517,161,845,261,567,504
B,267,319,183,88,897,455,424,230,510,457
C,952,665,199,512,418,969,1041,23,824,420
D,88,42,411,140,572,262,925,945,702,180
E,58,511,105,592,503,872,92,959,84,291
Dn,23,535,865,201,1536,502,425,27,464,1028
P,695,86,408,1104,810,363,782,688,205,141
Q,990,132,663,981,529,423,1250,404,602,191
V,745,8,34,41,1144,512,216,115,744,391
Y,238,156,198,48,190,692,1311,308,74,8
b,563,694,362,761,549,353,511,76,81,700
d,378,285,1417,449,907,622,998,493,335,1193
i,412,1166,1267,952,681,985,47,529,29,182
m,296,778,871,973,207,301,222,401,800,686
q,481,983,876,225,597,91,769,764,374,127
4,817,198,283,355,712,141,1197,213,1325,934
5,240,136,910,628,274,254,365,747,402,517
7,543,600,1138,738,1189,228,511,802,331,1345
9,585,171,1026,37,1098,396,229,824,634,127
AD,685,748,167,252,408,62,526,348,41,150
AF,161,714,74,922,833,334,705,97,613,477
AG,680,541,341,56,1266,807,84,212,834,776
AJ,598,228,513,633,138,307,234,320,1368,80
Do,215,1343,679,226,190,445,286,462,147,229
AS,77,673,580,224,474,896,216,892,350,79
AV,465,1267,137,256,65,578,187,572,144,252
Ab,1032,174,974,230,127,256,355,226,125,18
Dp,538,10,344,197,812,272,396,479,656,447
Dq,755,1306,360,602,187,64,1168,19,669,258
Ag,219,543,502,95,616,774,71,464,342,51
Ak,806,1049,521,468,354,55,664,280,494,14
Ao,351,361,579,259,634,630,124,202,338,182
Ar,13,83,426,342,346,572,133,613,658,59
Av,317,1177,384,593,546,734,597,1054,372,705
Ax,1040,1071,1234,900,965,493,419,791,610,209
Ay,74,257,109,224,489,41,373,311,60,517
Az,154,731,1362,237,1434,568,9,1572,438,191
A1,319,1263,975,667,549,645,121,389,746,209
A3,642,640,1007,298,230,149,954,138,814,1307
Dr,339,301,1144,179,295,335,755,234,434,149
A7,904,956,453,870,566,668,413,540,132,24
BC,588,569,383,488,712,697,898,342,11,574
BE,326,706,78,582,74,1014,1867,505,544,354
BM,795,755,525,490,511,450,727,479,336,202
BN,245,756,586,66,585,20,603,1319,594,66
BR,281,434,702,678,915,1009,517,350,192,1883
BV,387,1487,561,264,38,969,470,82,273,439
BW,144,23,960,1007,1173,286,749,1012,778,594
Bb,566,343,394,11,196,921,652,1030,317,615
Be,296,301,1078,1461,457,91,167,708,457,208
Dt,756,149,1018,460,1122,84,678,240,168,911
Bh,608,1898,306,273,1345,542,893,1236,136,729
Bo,54,643,897,715,134,648,376,43,23,742
Br,473,196,218,58,796,190,305,1431,622,275
Bt,90,858,1462,18,369,430,560,218,301,771
Bv,879,1419,110,375,652,478,358,666,374,79
Bx,377,493,251,714,123,261,178,21,53,229
B0,731,116,97,352,427,532,4,12,288,465
B7,352,957,256,260,417,486,47,379,277,540
B8,138,265,385,244,481,599,516,909,950,458
CB,1197,1618,279,43,29,333,864,878,473,748
CF,965,169,326,806,226,1047,3,273,331,719
CG,1092,891,77,235,1117,524,859,940,154,1054
CH,1219,12,595,183,671,519,656,302,231,312
CK,1033,52,369,169,100,554,572,786,97,678
CP,932,294,250,390,752,195,651,57,585,687
CS,636,123,1071,187,5,909,755,1264,881,902
CT,768,131,327,532,844,547,815,770,419,400
CZ,1121,950,106,411,158,246,1402,52,180,44
Cb,439,1025,301,615,308,563,240,782,247,302
Ce,201,578,307,145,617,1118,380,533,645,787
Cg,520,573,119,502,214,402,100,410,19,349
Du,324,453,466,444,786,432,252,165,873,124
Cq,5,666,582,59,60,518,583,465,322,533
Cs,507,560,1766,1159,100,1193,123,1300,481,386
Cz,891,3,321,295,642,599,37,146,583,71
C1,419,229,264,767,1076,590,914,322,1018,445
C4,1103,760,535,65,404,370,99,647,377,106
C5,974,471,199,893,27,914,918,8,1377,147
C8,513,280,41,501,518,490,575,343,966,493
C9,349,706,265,413,421,83,390,547,39,521
DA,450,159,411,921,512,291,574,179,816,488
DD,901,267,178,683,107,118,330,444,644,14
DE,318,379,663,655,278,394,346,226,114,260
DF,564,977,95,464,56,494,369,167,762,71
DJ,2219,620,867,2612,133,31,878,1477,1175,133
DK,787,1475,375,809,1219,1008,726,1398,420,1162
Dv,330,521,1483,306,1019,940,1309,848,161,1320
DN,2819,672,229,1934,1157,1231,286,1469,22,1296
DP,1298,1503,380,675,583,802,621,969,635,103
DU,350,257,1170,323,554,838,314,873,682,1173
DV,347,282,587,259,10,436,383,305,585,713
DW,977,53,1603,150,385,723,257,109,1328,175
Dw,161,222,161,133,360,259,77,171,323,1851
DZ,580,1528,148,181,731,145,610,1152,644,283
Db,87,86,799,494,53,1720,192,333,389,335
Dh,1160,38,629,1021,129,906,1009,376,722,526
Dx,379,309,469,367,338,253,721,144,160,627
Dj,1356,201,975,110,152,395,109,834,904,614
Dm,174,268,79,671,840,457,9,17,202,708
