mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,29389,35499,2329,27153,893,37289,9397,35,46718,33115
2021-11-01T00:05,1850,1145,9941,7236,7362,14384,17186,1629,19400,51810
2021-11-01T00:10,27120,18410,445,17950,20110,39608,17174,4200,1674,20426
2021-11-01T00:15,18981,24177,7896,27570,2799,39518,17625,6959,38423,16314
2021-11-01T00:20,15651,23031,11810,21649,5225,32630,3982,3640,43736,21675
2021-11-01T00:25,7275,3988,1485,5972,3025,17332,17929,7267,55753,58953
2021-11-01T00:30,14533,27928,13635,8025,2726,2658,25069,2635,22313,44752
2021-11-01T00:35,20727,23338,1939,1499,4277,23919,8973,1774,6978,52136
2021-11-01T00:40,6812,23599,907,5159,8164,52600,7972,2892,49013,11247
2021-11-01T00:45,19037,19339,7057,9220,3397,109987,8747,2668,2336,21592
2021-11-01T00:50,18937,16875,12345,10745,768,11625,9946,2466,24166,18826
2021-11-01T00:55,38094,6946,7687,13904,1783,63849,8676,564,3352,9251
2021-11-01T01:00,19287,20132,559,2278,292,82575,9016,1305,40304,4358
2021-11-01T01:05,5712,13298,17389,6604,2214,133910,11763,616,45811,46574
2021-11-01T01:10,12944,33029,19178,6643,4826,15117,10863,1233,4149,27633
2021-11-01T01:15,14275,13793,6406,5490,2699,25506,5173,2632,20533,7407
2021-11-01T01:20,6478,21066,10591,864,10222,11507,18507,525,19989,15196
2021-11-01T01:25,5911,13183,1894,1013,3379,15903,6826,4172,11238,33291
2021-11-01T01:30,22473,22556,761,21,3601,10342,11035,559,33378,31779
2021-11-01T01:35,5269,15840,1606,6754,1878,13313,11375,3815,8168,10919
2021-11-01T01:40,944,12478,2684,4528,100,12959,2747,1956,14218,43014
2021-11-01T01:45,8612,11263,8924,9865,2669,1273,6247,2246,11807,2475
2021-11-01T01:50,15354,227,3174,1724,1827,6285,8465,964,4910,11956
2021-11-01T01:55,22180,20365,3614,3691,1367,9389,6144,1072,20308,17775
2021-11-01T02:00,801,4566,942,5699,2007,5212,758,779,26831,4703
2021-11-01T02:05,2531,9755,1135,5009,768,25366,1759,1918,5780,12073
2021-11-01T02:10,6025,3023,1110,2262,1185,23167,5709,1057,17902,22710
2021-11-01T02:15,20025,11253,1477,666,296,17938,2676,146,3938,19214
2021-11-01T02:20,5556,7838,2819,4365,1327,1203,771,887,5862,6557
2021-11-01T02:25,559,19851,3170,3557,733,5575,1146,244,2937,11358
2021-11-01T02:30,10804,2555,1609,415,2589,13723,3982,303,11452,12758
2021-11-01T02:35,3,3373,736,1499,638,1589,283,673,17609,1994
2021-11-01T02:40,158,5302,1520,529,3829,8484,1485,121,480,3152
2021-11-01T02:45,499,10990,1815,6308,746,7566,3925,599,1894,2812
2021-11-01T02:50,2148,3601,2845,1601,2463,4708,779,55,4095,2216
2021-11-01T02:55,1282,5560,2729,1999,715,3040,1879,414,9884,30
2021-11-01T03:00,2159,1722,486,3311,6379,15781,1361,917,2577,7567
2021-11-01T03:05,6787,6999,1827,779,2237,4418,1115,1,7340,29341
2021-11-01T03:10,10265,1763,994,1280,933,7515,892,3,13423,791
2021-11-01T03:15,594,1978,257,2793,7001,332,2542,734,9557,37
2021-11-01T03:20,5169,3872,4514,1355,1642,324,3184,614,9390,6149
2021-11-01T03:25,106,1886,1536,659,679,269,2537,917,6283,2201
2021-11-01T03:30,4722,3825,1121,609,5129,3764,2692,18,319,5768
2021-11-01T03:35,1524,1363,689,211,1597,1109,1782,250,3835,9047
