site_name,bandwidth
A,98653
B,65964
C,35343
D,83094
E,5174
Dn,63608
P,9119
Q,108173
V,26489
Y,12933
b,68691
d,83348
i,62073
m,108174
q,2229
4,40585
5,14242
7,51102
9,123622
AD,34354
AF,151972
AG,181835
AJ,1335
Do,41299
AS,129322
AV,3541
Ab,32521
Dp,25065
Dq,32559
Ag,75849
Ak,86557
Ao,166662
Ar,20776
Av,38371
Ax,15082
Ay,42127
Az,24483
A1,31108
A3,52308
Dr,69584
A7,51466
BC,8966
BE,84050
BM,99792
BN,33249
BR,7771
BV,52814
BW,26010
Bb,43898
Be,8836
Dt,26594
Bh,67897
Bo,52514
Br,51959
Bt,39885
Bv,38523
Bx,83765
B0,62528
B7,31163
B8,145232
CB,42417
CF,47270
CG,56258
CH,33188
CK,35724
CP,49914
CS,34590
CT,59253
CZ,65445
Cb,11290
Ce,94272
Cg,48068
Du,32876
Cq,70779
Cs,41032
Cz,12463
C1,26113
C4,43906
C5,40935
C8,3611
C9,28829
DA,77270
DD,20919
DE,50101
DF,40290
DJ,102502
DK,34004
Dv,68780
DN,65355
DP,82750
DU,75739
DV,24796
DW,23502
Dw,60874
DZ,61492
Db,76198
Dh,19707
Dx,10092
Dj,54735
Dm,86514
