mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,39524,34040,24035,18732,5532,42825,9768,6967,38858,80073
2021-11-01T00:05,31288,845,4649,28331,6519,30496,16847,4571,21737,21531
2021-11-01T00:10,27127,76136,5159,8331,7515,26081,16069,2547,69268,40833
2021-11-01T00:15,11454,13575,2135,29598,9748,59556,137,1869,65390,32760
2021-11-01T00:20,45394,10448,1780,9763,426,6122,15702,8072,68110,51388
2021-11-01T00:25,32892,3982,2974,12656,8985,89386,29924,3018,33208,41048
2021-11-01T00:30,9194,5087,7121,10884,2974,9583,6433,3553,7952,20677
2021-11-01T00:35,17548,36053,4871,8265,6477,27144,6326,887,6440,48927
2021-11-01T00:40,8647,21768,13389,5363,8594,119,7166,670,30416,23087
2021-11-01T00:45,20719,18817,6092,7999,6104,26823,6040,5116,15518,14341
2021-11-01T00:50,6228,36703,6431,3236,5312,9770,4198,352,2914,28317
2021-11-01T00:55,5414,12294,7828,13300,6727,7678,17023,1839,46992,57642
2021-11-01T01:00,5446,38234,8253,3364,9081,52912,15428,1134,14878,23002
2021-11-01T01:05,2424,26617,22119,4143,3451,16792,5289,3463,48233,6367
2021-11-01T01:10,15998,4030,7327,1540,5384,28817,8834,1548,47366,17832
2021-11-01T01:15,3640,5229,11227,2341,2604,33413,1703,311,917,16421
2021-11-01T01:20,4943,3645,5654,6799,7160,13125,7406,338,6200,33378
2021-11-01T01:25,8096,9009,12682,11764,4650,1015,3957,1618,19248,1818
2021-11-01T01:30,10511,36501,2906,4527,10201,6323,136,1438,1574,24923
2021-11-01T01:35,1372,14459,6390,13326,5779,11149,981,1351,11574,26462
2021-11-01T01:40,12898,16873,1229,1438,503,17538,1113,934,11527,31478
2021-11-01T01:45,24445,28541,581,4220,3197,8103,2424,2169,19858,18995
2021-11-01T01:50,8456,2359,3581,3621,967,11433,5703,884,29486,30132
2021-11-01T01:55,17966,3966,4370,3559,3088,19973,1797,212,1471,2943
2021-11-01T02:00,2262,1510,4751,5431,6596,17941,330,2418,6781,10512
2021-11-01T02:05,6304,2548,3403,951,1965,7478,8807,3323,338,4455
2021-11-01T02:10,12515,3834,2837,5443,6786,105,47,390,939,4732
2021-11-01T02:15,14790,4210,642,2908,1843,53196,1951,1516,15652,10907
2021-11-01T02:20,5963,8620,2723,1118,9025,281,849,1437,6461,11767
2021-11-01T02:25,10243,6854,135,2484,2352,5315,4681,908,22907,936
2021-11-01T02:30,2839,942,1241,1076,2296,11508,3291,1118,856,6432
2021-11-01T02:35,4351,3272,1952,430,4291,1140,4249,107,5058,11403
2021-11-01T02:40,917,10694,562,2173,2821,11236,751,484,9571,11352
2021-11-01T02:45,14859,11638,3782,4065,2727,6468,376,943,6467,8095
2021-11-01T02:50,1252,7552,182,1992,3314,9431,915,697,8476,9697
2021-11-01T02:55,10742,2492,652,3629,2229,7181,3522,29,285,3874
2021-11-01T03:00,6279,2287,56,3225,11222,22114,562,234,5608,14172
2021-11-01T03:05,4421,1052,2818,1824,2203,6131,2647,413,13834,9160
2021-11-01T03:10,5802,4476,949,1351,5716,5227,2524,81,4494,10321
2021-11-01T03:15,11199,5511,1854,2050,8115,6088,2886,267,2137,32
2021-11-01T03:20,451,8283,695,195,963,471,1030,546,3728,3450
2021-11-01T03:25,2769,242,1646,2307,1605,1806,120,275,2637,1169
2021-11-01T03:30,3108,313,344,1263,3456,3175,1605,287,5391,7977
2021-11-01T03:35,705,1225,516,1334,2382,8201,105,113,2954,1529
2021-11-01T03:40,2240,3877,2385,2583,1967,7087,1969,499,7899,9998
2021-11-01T03:45,2103,723,790,3244,3084,6758,2359,346,1423,2145
2021-11-01T03:50,501,481,3507,1265,2783,5233,1635,169,5288,7554
2021-11-01T03:55,6235,3319,1777,2343,1444,2081,598,512,1682,2917
2021-11-01T04:00,475,1370,172,4159,5718,4022,1550,504,4927,10690
2021-11-01T04:05,1366,2757,880,70,1119,1964,2339,101,6437,2929
2021-11-01T04:10,6865,653,1517,2418,4379,5334,1360,157,8558,1714
2021-11-01T04:15,762,2426,354,1682,1606,6429,1413,236,1282,12293
2021-11-01T04:20,3021,1527,1452,856,1075,4057,2782,74,4642,6207
