site_name,bandwidth
A,701086
B,14037
C,58809
D,461310
E,206860
Dn,215467
P,1305012
Q,373575
V,1018606
Y,278334
b,638754
d,411320
i,296019
m,511200
q,38329
4,606360
5,220988
7,973738
9,713836
AD,723157
AF,1567258
AG,872646
AJ,426840
Do,833672
AS,220485
AV,834862
Ab,671210
Dp,24521
Dq,656787
Ag,162730
Ak,384357
Ao,299015
Ar,953837
Av,407990
Ax,11253
Ay,178239
Az,50753
A1,993412
A3,903887
Dr,298309
A7,419014
BC,678624
BE,84089
BM,845688
BN,308903
BR,555877
BV,719772
BW,276788
Bb,674535
Be,289655
Dt,1629902
Bh,348230
Bo,635299
Br,409545
Bt,704064
Bv,1194147
Bx,110805
B0,1408563
B7,358503
B8,124912
CB,508847
CF,500727
CG,63620
CH,628770
CK,871066
CP,185728
CS,708691
CT,51633
CZ,575634
Cb,449095
Ce,1109597
Cg,943154
Du,159065
Cq,632406
Cs,144795
Cz,136081
C1,416027
C4,708699
C5,230179
C8,1000184
C9,395076
DA,975597
DD,750655
DE,413816
DF,414321
DJ,573715
DK,222794
Dv,429893
DN,661939
DP,515839
DU,760043
DV,1025779
DW,1230668
Dw,791468
DZ,1126215
Db,84772
Dh,486877
Dx,102120
Dj,188156
Dm,498576
