site_name,A,B,C,D,E,F,G,H,I,J
A,1550,675,1029,2302,1558,495,1142,2046,1982,1174
B,844,1196,82,1574,2585,1085,2135,1346,1016,2056
C,1899,1427,118,2185,787,1640,1772,1853,1578,99
D,2029,976,1497,1900,1948,2287,2303,1173,267,644
E,1349,2064,3160,1828,1262,2556,1773,313,351,250
Dn,3871,471,9,173,2165,4007,1705,396,1041,1096
P,658,1938,264,132,3868,2487,160,1944,1764,4533
Q,2138,183,1943,2371,357,2350,2252,776,1156,3945
V,1077,2055,2887,1042,588,1645,220,1454,136,1770
Y,1365,2466,1131,819,3043,1326,1041,2480,2076,238
b,2066,1672,3578,388,951,1004,699,3594,3124,1640
d,2011,1344,106,2581,1807,329,1518,4757,658,229
i,1546,2942,3696,2152,3135,1579,2604,173,2213,2747
m,771,3082,3064,2774,4353,3882,1648,2798,1946,1486
q,967,3125,1444,2445,349,1159,4033,1394,1358,901
4,447,1158,1539,771,2181,318,294,1195,337,984
5,1997,2592,2787,1939,312,2848,2200,1186,2059,692
7,1322,921,2798,2978,2610,1628,2036,1940,1595,1111
9,2020,1545,1283,3900,304,3076,659,1756,3662,2967
AD,2987,2284,1420,2880,1818,4442,3746,2580,134,1303
AF,456,1371,3011,4675,1837,2049,3477,1838,204,545
AG,2871,2235,2115,323,649,393,440,554,1608,5283
AJ,805,742,1599,125,2568,1058,627,295,1173,969
Do,485,2254,1351,1027,2730,2336,276,754,2351,1275
AS,1497,108,1421,917,1773,635,873,1181,2212,722
AV,1813,1078,1183,573,3097,846,1778,153,1020,114
Ab,1018,1842,690,1189,1063,2140,1296,613,2292,1061
Dp,2747,53,2052,145,2294,184,1720,254,1734,1459
Dq,982,1237,582,1411,2449,1399,2315,1664,1432,1797
Ag,1993,2810,913,826,2288,1218,1128,1380,1125,841
Ak,1430,733,1179,2535,563,1650,67,841,992,380
Ao,304,2843,772,2828,690,179,1225,2220,3624,1864
Ar,3045,2067,949,459,1462,873,831,936,2792,1513
Av,3710,3664,2085,1630,925,3035,812,2510,1947,4014
Ax,1266,1219,280,1052,40,1348,3170,194,2846,2253
Ay,679,1831,250,281,3313,1768,804,1178,2938,1715
Az,2668,53,3729,1626,465,1123,3380,2138,2007,2818
A1,1237,2114,5654,873,2119,1409,939,2829,491,755
A3,2272,545,507,2176,735,2868,258,1875,1073,2681
Dr,1889,1541,2716,1687,1927,896,1865,312,815,3259
A7,1295,1111,2202,142,1843,128,1097,1908,700,2944
BC,2305,813,2197,1519,252,280,4159,3351,1300,270
BE,197,1989,2620,3083,1334,2313,1667,1971,1458,224
BM,1653,1209,556,27,196,1495,1562,2069,945,98
BN,3159,3759,3113,126,2231,2126,3639,1113,695,2549
BR,1447,1091,150,1710,284,525,310,215,1638,1040
BV,2571,2807,1177,2434,145,4555,1231,3503,2581,492
BW,467,1228,590,283,1615,1318,293,1399,140,170
Bb,373,1874,1308,439,319,1318,697,2226,315,2391
Be,1564,2429,3589,941,145,31,3638,389,288,11
Dt,1462,1454,979,2377,1591,3940,3071,852,1389,734
Bh,1588,3102,999,82,926,396,240,1990,1135,1895
Bo,2676,1718,625,3259,1021,1622,669,615,190,1680
Br,2209,295,2404,62,2617,824,385,2176,1919,459
Bt,1821,597,568,1866,1772,654,753,1938,1009,66
Bv,1967,3017,143,569,1065,3358,3489,2208,2356,533
Bx,1885,2189,3455,912,2114,1983,555,1397,428,143
B0,1342,1295,1919,211,826,510,706,1670,1850,1988
B7,1881,2743,1439,600,1546,2630,1041,3319,592,917
B8,1873,314,1017,452,860,2210,347,1448,1513,703
CB,1438,1620,323,551,1038,2453,1170,3407,1645,328
CF,2934,599,185,1304,266,725,1181,145,1273,1247
CG,3714,2434,2155,899,868,974,2374,2574,3804,952
CH,83,2840,696,3839,5310,1291,334,927,3073,4585
CK,222,1150,4621,225,3035,1185,3264,2896,2216,2750
CP,6023,2553,2161,201,4870,3157,862,277,1020,2803
CS,23,855,2196,1992,503,1424,1128,1676,410,1575
CT,1176,1228,226,2076,1908,556,1014,1622,2048,206
CZ,1843,2645,606,1696,305,2432,793,400,1761,1017
Cb,583,1162,322,2084,246,4252,490,10,340,455
Ce,1665,1233,2424,363,1659,1908,429,228,1886,122
Cg,1869,639,402,166,380,3636,1101,1685,635,2817
Du,939,378,34,629,1260,548,739,543,564,1278
Cq,700,3821,3119,1659,560,1848,408,999,1223,230
Cs,44,1312,2336,1880,3313,3253,3270,1420,1638,3960
Cz,2931,1612,331,2329,281,638,3309,530,1387,1888
C1,1849,112,3565,171,850,1513,254,1295,245,11
C4,684,220,674,1754,2224,3449,2270,798,1837,108
C5,2986,1224,1006,1427,1843,2170,644,1436,2089,2236
C8,1099,1037,720,365,3479,1597,1803,2232,2993,596
C9,1446,385,1799,956,313,566,3062,2116,60,2540
DA,151,1194,197,95,1927,1505,1558,1129,866,58
DD,435,1598,3435,631,2236,1778,1789,968,2980,1744
DE,1259,2286,656,1169,2020,1512,1969,144,1718,1784
DF,1570,3108,699,137,1239,979,752,528,518,546
DJ,3719,4553,376,1842,1396,3917,1470,4023,1293,1766
DK,5434,2771,954,708,2429,4401,6135,3485,763,3326
Dv,3233,1115,3081,952,1758,999,1508,762,3466,4144
DN,5634,4194,148,3069,979,2536,3883,252,3296,2503
DP,3026,1099,3464,539,424,1052,194,500,1227,2832
DU,1886,530,782,1320,4607,1895,1315,467,933,854
DV,2588,641,4200,3213,1420,1937,1777,2643,778,4020
DW,26,642,2788,222,1743,661,804,1333,3080,1383
Dw,4039,1515,2482,1794,2514,643,917,1665,4961,1858
DZ,275,543,89,760,2613,416,340,2897,3157,213
Db,866,1588,1768,2186,2493,729,2146,144,2683,2690
Dh,2093,154,1976,924,3030,1722,1053,1218,772,1841
Dx,2376,472,2087,92,1328,2258,1325,2129,836,3284
Dj,2437,1589,2912,2647,2916,2329,3102,3596,1263,416
Dm,140,1106,3165,2337,436,3473,356,3905,1882,1500
