mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,31472,115836,97016,55944,17628,100652,100508,15924,116372,95352
2021-11-01T00:05,95212,92932,3980,4344,12556,234744,44268,3156,126920,463748
2021-11-01T00:10,62888,25000,20056,73668,292,481796,29960,3336,254228,139464
2021-11-01T00:15,42256,14868,31052,37208,42216,316264,1484,15104,122532,76192
2021-11-01T00:20,87852,40400,59248,41508,996,79956,11884,2168,131756,73436
2021-11-01T00:25,78352,80104,13260,23976,37416,256548,38108,12912,271000,355268
2021-11-01T00:30,67236,57012,21528,37332,33792,3600,21620,14432,15404,256128
2021-11-01T00:35,42328,128180,4076,5532,8040,234080,45132,15000,33464,72360
2021-11-01T00:40,89288,10632,21924,21892,13084,188856,61092,5648,136188,66780
2021-11-01T00:45,46652,12968,37008,80500,14588,391676,31412,1944,52056,163580
2021-11-01T00:50,16024,107104,43412,55456,27628,240696,34312,5644,63056,89656
2021-11-01T00:55,67532,84228,32864,59480,34776,138580,48924,8768,96936,105196
2021-11-01T01:00,2664,113628,11952,29004,35772,186092,2740,8036,88472,19416
2021-11-01T01:05,40944,92112,74152,49312,15896,407812,2964,21776,22428,43616
2021-11-01T01:10,144804,14700,34520,19188,24248,67044,96724,928,52928,178780
2021-11-01T01:15,79052,34380,27452,24348,28860,185244,14116,2584,67200,96832
2021-11-01T01:20,88724,46772,28528,29536,6784,47700,38948,4328,162404,113552
2021-11-01T01:25,31612,49396,35860,15240,35528,106528,19344,7764,154740,120560
2021-11-01T01:30,39908,224,42412,9636,8640,70116,39128,7196,116744,156784
2021-11-01T01:35,28868,50532,26568,12664,17796,88516,19168,9180,103080,84032
2021-11-01T01:40,34664,9028,12020,9868,2200,52272,9676,808,56132,96640
2021-11-01T01:45,3128,24544,8620,17756,22480,66036,24692,1616,49528,96272
2021-11-01T01:50,2124,70464,1908,18320,3092,200,27324,3104,69856,13876
2021-11-01T01:55,2976,20060,2180,2612,40160,25208,11556,4960,101952,45152
2021-11-01T02:00,5440,42856,12824,268,24316,66660,9428,3308,10224,60480
2021-11-01T02:05,23696,38084,12680,31268,9512,91552,41324,740,32856,41484
2021-11-01T02:10,44820,4896,10636,5420,18020,75492,10592,4788,3396,31228
2021-11-01T02:15,13376,3300,18660,30324,28324,138576,5368,9052,66232,4232
2021-11-01T02:20,20016,55912,11416,592,5048,55224,880,3916,83080,72
2021-11-01T02:25,39860,81820,29696,10460,19028,16884,22112,2228,17212,52736
2021-11-01T02:30,13864,30452,9176,13544,19748,61252,23168,2016,64756,69320
2021-11-01T02:35,61644,20384,8184,1508,17404,73440,10044,912,46572,45604
2021-11-01T02:40,19196,4352,1820,15748,12720,33264,8508,1668,18348,12456
2021-11-01T02:45,1196,6632,5692,5512,5468,52120,1736,1148,1672,22012
2021-11-01T02:50,26812,9180,4812,18400,7800,124,14160,1648,4828,2872
2021-11-01T02:55,11472,5856,3824,13840,11964,19708,1252,1076,49684,25592
2021-11-01T03:00,16732,616,13192,972,22588,21028,7020,2540,16424,21512
2021-11-01T03:05,10264,32264,5568,12620,60188,7792,9796,760,10092,55912
2021-11-01T03:10,19404,31148,212,4880,516,32676,14520,1180,26012,24844
2021-11-01T03:15,9424,14648,796,1528,2916,4100,12800,508,21212,17496
2021-11-01T03:20,7136,4556,2972,17656,16120,5624,2708,2272,10964,20336
2021-11-01T03:25,33636,11864,312,5032,4184,36980,5880,3164,38960,9636
2021-11-01T03:30,23988,22412,2852,452,7956,4572,7708,304,22824,8796
2021-11-01T03:35,5064,21624,0,2200,13952,16208,14132,208,12404,46396
2021-11-01T03:40,8528,9508,6176,4492,3804,6016,3992,1828,31544,13272
2021-11-01T03:45,10272,19948,4568,9320,5456,6316,7920,456,37392,24008
2021-11-01T03:50,2532,8008,6176,676,19804,41932,13416,2736,36092,10460
2021-11-01T03:55,20116,1636,4060,8184,12672,884,3072,776,20324,55872
2021-11-01T04:00,11100,3384,2816,2392,15252,19672,6492,340,6772,34608
2021-11-01T04:05,7628,472,4192,3280,9872,3964,13948,1168,11892,27004
2021-11-01T04:10,6500,5592,11212,1284,5316,15120,364,260,36788,6960
2021-11-01T04:15,13096,5440,6184,7804,17308,32036,456,12,5792,61672
2021-11-01T04:20,13044,2248,1236,7196,18784,19564,3932,504,28772,30488
2021-11-01T04:25,10200,2636,8480,4556,16788,2996,1112,968,4508,4692
2021-11-01T04:30,5052,5108,7872,740,18648,17812,6516,244,35192,13932
