site_name,A,B,C,D,E,F,G,H,I,J
A,28,621,973,428,735,286,872,353,685,16
B,443,13,377,461,348,39,676,717,712,560
C,231,246,513,721,864,333,271,416,71,1228
D,955,865,161,92,294,205,356,1471,302,830
E,709,581,385,337,744,568,212,1394,195,616
Dn,1182,537,2,197,44,301,725,408,513,442
P,37,335,462,474,193,864,284,558,873,681
Q,1120,733,192,470,314,466,265,266,394,98
V,9,1034,232,183,1033,41,939,1391,737,210
Y,316,995,622,14,475,699,710,1985,100,981
b,68,495,229,389,60,777,758,1126,549,685
d,480,706,759,819,147,1043,196,716,270,3
i,355,676,765,126,193,706,323,635,1239,851
m,732,679,577,108,439,436,903,699,892,658
q,493,216,260,727,762,823,97,590,197,863
4,183,544,116,210,106,903,327,832,654,1083
5,1041,685,1276,767,1938,1173,1627,156,325,261
7,800,1121,436,604,1696,192,1135,1205,719,732
9,281,250,1329,1065,618,13,607,5,417,501
AD,1530,154,902,433,1500,92,388,567,710,911
AF,192,165,38,743,1067,236,911,1245,558,637
AG,721,320,59,647,885,379,211,472,51,467
AJ,759,1187,225,57,240,391,176,2,321,96
Do,868,358,370,178,321,181,118,227,30,761
AS,435,8,323,111,257,617,508,604,146,664
AV,192,547,606,260,446,310,173,720,519,533
Ab,912,855,307,117,202,278,48,520,484,619
Dp,597,822,540,260,577,338,62,964,1207,387
Dq,581,956,353,149,414,76,438,538,904,841
Ag,414,729,121,12,72,385,264,445,672,369
Ak,991,89,679,758,661,465,396,554,613,30
Ao,9,258,139,265,1198,407,561,400,50,885
Ar,50,184,487,374,305,180,199,769,721,332
Av,741,507,173,1017,1089,1388,453,1197,24,264
Ax,1398,845,438,800,692,665,1642,39,970,1107
Ay,169,845,987,399,712,975,194,798,2,567
Az,654,956,1350,660,2189,1002,1142,59,760,144
A1,700,278,358,330,431,1247,717,192,887,286
A3,419,883,831,1248,305,924,341,278,572,570
Dr,765,503,7,412,380,895,500,188,333,142
A7,196,570,300,400,752,821,332,203,1082,433
BC,349,609,1076,558,925,1185,211,99,274,1044
BE,186,222,377,672,97,447,58,250,825,1140
BM,679,247,1215,877,316,546,514,495,481,959
BN,1143,466,17,471,922,233,749,1408,417,73
BR,1155,2238,869,557,53,101,427,1231,1365,27
BV,629,80,417,909,234,1170,965,207,738,738
BW,507,5,1100,8,449,483,314,941,107,63
Bb,174,985,467,142,408,519,449,580,484,333
Be,810,38,630,325,776,527,174,711,468,299
Dt,128,1102,5,459,554,117,288,1464,360,124
Bh,372,529,722,599,900,398,366,935,883,487
Bo,156,661,969,508,38,467,765,512,167,133
Br,475,1461,792,389,138,974,537,337,405,336
Bt,467,260,816,1029,731,469,421,823,803,311
Bv,672,549,579,17,725,171,514,437,524,878
Bx,118,444,8,214,397,764,141,231,1326,275
B0,296,196,332,725,446,112,305,287,979,45
B7,1096,532,202,771,1019,212,1167,937,411,252
B8,1562,394,623,1113,634,563,507,302,436,1249
CB,708,674,120,134,1182,534,387,202,259,714
CF,733,230,132,1090,125,289,738,16,22,346
CG,135,1085,1184,449,182,222,666,800,1231,426
CH,190,1136,1033,409,1583,12,127,52,740,792
CK,900,229,832,214,727,302,743,162,27,516
CP,446,428,488,1241,986,767,392,542,478,192
CS,814,920,367,389,942,140,577,701,745,60
CT,518,477,239,252,2489,681,1467,589,72,328
CZ,398,1022,388,497,66,217,136,97,41,293
Cb,686,986,102,319,188,1295,33,341,767,143
Ce,785,1924,1237,598,29,40,323,32,431,280
Cg,326,1310,448,91,201,277,24,506,201,22
Du,47,10,112,264,922,739,152,875,500,145
Cq,13,12,254,728,314,479,476,1027,488,593
Cs,573,1508,181,513,831,336,609,527,830,572
Cz,789,674,350,79,957,151,570,395,648,851
C1,832,371,774,450,365,612,286,123,395,180
C4,331,877,870,708,439,843,490,198,228,193
C5,896,368,417,206,28,269,279,868,52,1264
C8,23,325,586,609,816,969,847,296,215,605
C9,131,723,257,732,226,198,240,237,594,524
DA,119,659,616,462,962,1252,801,594,165,134
DD,218,1080,550,744,623,174,335,637,260,295
DE,28,296,136,25,400,280,225,255,870,12
DF,509,494,545,182,494,135,636,433,348,333
DJ,198,274,1058,1776,1818,632,640,1153,634,1082
DK,1109,169,202,706,1333,16,894,594,524,972
Dv,1729,406,70,1115,1670,429,616,737,119,1179
DN,1469,21,1713,400,475,52,1477,784,1381,240
DP,190,460,539,1492,832,545,1492,751,765,1405
DU,810,519,771,157,523,685,374,318,334,243
DV,849,186,61,164,555,367,727,274,105,841
DW,63,1067,12,470,796,1377,752,404,989,1397
Dw,569,151,212,347,269,1036,411,688,973,378
DZ,411,121,157,607,1301,413,498,396,126,12
Db,207,909,39,1063,680,425,819,369,195,201
Dh,309,611,263,37,324,270,105,282,425,383
Dx,526,233,188,504,423,295,357,819,438,929
Dj,495,38,695,648,1183,936,24,856,956,1197
Dm,933,622,101,120,1475,861,437,579,184,539
