site_name,bandwidth
A,88402
B,1032
C,5103
D,60705
E,31608
Dn,14805
P,23427
Q,39438
V,38112
Y,43778
b,21977
d,105511
i,77935
m,64526
q,18679
4,9813
5,92009
7,42298
9,116836
AD,34730
AF,17571
AG,105371
AJ,92792
Do,110646
AS,6240
AV,100419
Ab,52774
Dp,13980
Dq,43835
Ag,9077
Ak,75968
Ao,25436
Ar,61377
Av,44984
Ax,10029
Ay,23418
Az,71564
A1,75791
A3,48187
Dr,49664
A7,123239
BC,75364
BE,58170
BM,22121
BN,17910
BR,18802
BV,30841
BW,30207
Bb,60506
Be,23689
Dt,29056
Bh,64918
Bo,55336
Br,55389
Bt,78745
Bv,39457
Bx,13386
B0,26931
B7,18283
B8,31764
CB,65987
CF,81616
CG,14551
CH,9787
CK,62391
CP,51095
CS,17327
CT,148926
CZ,98449
Cb,108006
Ce,13766
Cg,5034
Du,40060
Cq,78363
Cs,58359
Cz,164987
C1,58282
C4,99477
C5,129840
C8,83264
C9,13743
DA,6510
DD,60116
DE,7785
DF,83563
DJ,35654
DK,9938
Dv,27489
DN,14930
DP,102046
DU,38964
DV,43414
DW,34573
Dw,18101
DZ,55372
Db,44226
Dh,25874
Dx,103868
Dj,38825
Dm,58874
