site_name,bandwidth
A,8875
B,14235
C,11537
D,386
E,858
Dn,3892
P,8669
Q,1310
V,7563
Y,6527
b,8673
d,2779
i,12288
m,4058
q,865
4,8245
5,5943
7,11076
9,13756
AD,11528
AF,2192
AG,6623
AJ,3408
Do,1229
AS,4052
AV,1920
Ab,2454
Dp,2849
Dq,1626
Ag,6829
Ak,2870
Ao,309
Ar,5448
Av,2684
Ax,4777
Ay,6429
Az,1796
A1,11656
A3,7256
Dr,2133
A7,8610
BC,711
BE,12712
BM,7010
BN,6343
BR,3842
BV,5731
BW,9040
Bb,259
Be,1844
Dt,6742
Bh,6822
Bo,7888
Br,2089
Bt,2871
Bv,6942
Bx,9739
B0,3214
B7,325
B8,1028
CB,6589
CF,3117
CG,1796
CH,43
CK,3241
CP,5032
CS,1698
CT,470
CZ,2198
Cb,9258
Ce,12907
Cg,254
Du,4860
Cq,3068
Cs,7820
Cz,2650
C1,5705
C4,1156
C5,2621
C8,7830
C9,495
DA,3657
DD,8029
DE,7192
DF,2642
DJ,148
DK,989
Dv,434
DN,2835
DP,5371
DU,6963
DV,3745
DW,3054
Dw,4884
DZ,3139
Db,482
Dh,11247
Dx,1200
Dj,9233
Dm,5123
