mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,2226860,4017640,151800,126730,788095,3941510,299115,723695,43700,2335995
2021-11-01T00:05,2948140,1127460,1310655,596160,16445,13162900,1405070,680225,3105115,1031895
2021-11-01T00:10,813280,1316980,179055,1931425,454250,414920,1007055,863765,1498220,4147590
2021-11-01T00:15,2855450,221260,721050,1926365,1240275,7535835,1744780,238510,4601265,682755
2021-11-01T00:20,1411740,694485,301760,602255,986010,1331930,654120,331660,13225,3382955
2021-11-01T00:25,2441565,393875,660675,1867485,62215,2114505,441945,214590,4623690,4383340
2021-11-01T00:30,3071190,748190,490015,576150,726455,6335350,1461650,1074100,2184540,337525
2021-11-01T00:35,2784265,2786450,662055,830300,321195,5804395,750490,206885,278185,2470660
2021-11-01T00:40,2168555,2151190,179630,610995,593055,7305835,370645,19320,1456360,8330600
2021-11-01T00:45,1702920,4881980,1876225,111205,770615,175490,542110,480585,6743945,9523380
2021-11-01T00:50,1088015,331315,1229235,914710,1426690,777515,1414500,107985,44850,4347460
2021-11-01T00:55,1583320,1243495,896655,2645,62330,3217815,1920155,134550,1827465,3767285
2021-11-01T01:00,492890,565455,444015,323035,2151535,4159090,388470,225170,1769390,4682570
2021-11-01T01:05,213670,5795540,1941660,110285,2160160,11584410,876645,277610,2525170,786715
2021-11-01T01:10,4034430,1168860,665965,430100,1218195,5048040,460690,26795,3508305,6009095
2021-11-01T01:15,514395,804770,1520645,658260,1015910,7747435,107870,305900,1589415,783035
2021-11-01T01:20,2625680,1482925,2226170,99820,1260285,4132640,535210,473340,1872660,2047115
2021-11-01T01:25,1294785,604210,695980,655845,69460,300150,759115,169050,896655,115115
2021-11-01T01:30,561545,50485,498410,114195,509680,484035,552805,107755,853070,1661635
2021-11-01T01:35,3169285,2800365,253000,58305,697475,274505,454825,323380,3275200,493235
2021-11-01T01:40,943575,2129455,825125,221260,7475,837660,700465,99705,6292340,4510070
2021-11-01T01:45,1558020,16215,275885,1172655,208265,275655,159275,181010,1221300,1821600
2021-11-01T01:50,317170,1055355,370530,499100,191590,1252235,244260,21620,2626140,1602410
2021-11-01T01:55,971290,1300420,13340,544640,448500,1544680,208265,89930,326255,665850
2021-11-01T02:00,1735810,1550430,624565,1144365,524285,761760,257945,13455,94530,107870
2021-11-01T02:05,468050,101660,18515,680915,556140,2379235,461150,124545,978190,57730
2021-11-01T02:10,1382185,538545,216660,804770,93265,3382955,681490,199410,870320,746695
2021-11-01T02:15,240235,1039715,120290,331660,469545,480930,360295,159160,195845,598115
2021-11-01T02:20,430330,590410,17365,240925,1035115,495995,325105,35190,1041325,1847360
2021-11-01T02:25,1348720,838695,76590,155020,421590,900105,474260,76705,459540,1469010
2021-11-01T02:30,310845,1262010,284740,432285,460805,292560,443325,51060,60375,1014415
2021-11-01T02:35,349945,416990,417680,50025,239315,1525475,540845,2415,597310,81880
2021-11-01T02:40,139610,1098480,44160,133285,387780,1509030,4140,67160,149960,908385
2021-11-01T02:45,1906585,488290,194925,77855,117645,1308125,477710,19895,1952585,1150805
2021-11-01T02:50,884005,472880,46000,120635,619505,474260,264845,58880,72795,345460
2021-11-01T02:55,343620,547630,85905,119715,97980,420785,23345,29440,1086405,2635685
2021-11-01T03:00,37375,1955,312110,464025,873540,1815390,26220,15180,1202785,1829420
2021-11-01T03:05,496340,118565,344425,23690,354315,804885,653890,52095,346840,286350
2021-11-01T03:10,272550,429410,6325,59570,1048110,265995,16100,52095,2530,1345615
2021-11-01T03:15,486450,234370,68080,117990,635490,985435,83950,10005,257715,433665
2021-11-01T03:20,508530,718980,454595,231380,409975,54280,309810,38870,909420,63250
2021-11-01T03:25,270940,810060,44735,419405,88090,70495,206655,63710,1300995,654695
2021-11-01T03:30,268295,183655,154675,223905,501975,359605,246215,15180,662630,20125
2021-11-01T03:35,404800,108100,99130,150880,324530,1288690,52555,2070,327290,805460
2021-11-01T03:40,202860,352705,219995,221375,10465,535900,48415,12765,1078700,1018440
2021-11-01T03:45,211830,227930,368460,390540,30705,18285,106145,38410,1158395,1060530
2021-11-01T03:50,51290,666540,270710,175030,475180,1058230,257370,24150,747385,11270
