site_name,A,B,C,D,E,F,G,H,I,J
A,724,1381,750,644,2468,1381,2583,1440,664,1128
B,711,754,1301,1052,900,1031,319,580,1467,485
C,978,2385,853,2449,269,740,1015,1012,725,482
D,888,1755,980,2414,731,2376,1464,1231,270,3
E,489,995,1290,1281,932,1484,1574,1759,2,74
Dn,977,418,1481,1382,1591,583,235,913,2737,1131
P,488,1046,12,1866,740,1138,1483,769,1813,1348
Q,235,1428,1238,129,306,848,57,1349,896,1064
V,632,1920,1302,1103,1698,200,360,1612,1192,74
Y,613,120,1244,834,1218,501,966,1369,1032,1687
b,1539,745,1728,968,557,1400,108,1880,737,2994
d,1653,210,2091,493,2471,257,748,1453,1886,2107
i,934,139,490,658,1903,2222,870,769,569,2762
m,1134,293,1903,1514,2375,1541,2571,319,253,996
q,1432,311,558,1765,866,1510,1245,1682,1406,452
4,3215,346,960,607,1846,2297,290,1210,1067,1401
5,1524,1635,861,2290,601,567,1097,549,1917,1281
7,3272,1065,779,1200,828,1747,674,2431,3293,1272
9,2211,959,765,261,484,1395,1349,966,266,525
AD,355,303,330,2227,3613,562,861,1085,1342,1953
AF,3262,532,410,493,1372,267,2508,2609,1461,1401
AG,1117,1071,1255,3019,1949,1594,402,0,1555,1130
AJ,193,1998,1221,1560,1478,104,404,850,1301,606
Do,441,831,298,458,155,780,128,220,1132,481
AS,248,478,1461,1089,636,151,391,263,580,1560
AV,1114,1347,973,1652,662,1554,331,341,982,935
Ab,725,1135,1111,177,776,861,1110,736,8,1287
Dp,2478,2182,1154,1251,737,909,3476,179,851,1182
Dq,402,156,619,284,1652,277,245,185,951,628
Ag,2301,1345,959,863,347,1807,556,333,1055,276
Ak,40,1593,809,952,1581,1518,444,853,899,531
Ao,108,1870,51,189,640,744,189,273,1527,474
Ar,847,663,171,199,944,1936,1401,1641,1518,123
Av,149,2118,2,2050,90,1184,78,1448,2533,1988
Ax,1424,1911,1760,1916,3245,182,1067,156,2615,2458
Ay,535,1728,1677,122,1291,583,1473,1567,478,374
Az,1459,997,490,2829,718,2279,845,217,666,2109
A1,1918,1325,341,78,709,990,208,278,299,1006
A3,354,386,1597,669,1173,1064,872,156,10,2047
Dr,639,2198,362,1051,1207,1745,2554,1692,2825,1011
A7,658,1316,640,124,1202,1100,675,434,869,746
BC,62,900,617,1717,223,1857,813,1622,95,1583
BE,20,826,964,964,1673,642,1135,681,671,2541
BM,9,15,1256,862,1125,1015,1219,945,1553,390
BN,1360,1979,1473,900,1824,953,363,957,274,1393
BR,834,1958,817,1141,143,1867,1030,1030,1685,751
BV,1001,1722,513,1791,320,1377,852,1288,139,1222
BW,1041,1642,27,269,1309,766,1010,401,765,162
Bb,206,466,469,1586,90,431,216,1248,421,362
Be,885,1702,724,679,519,1037,2003,162,991,162
Dt,245,1488,1357,726,2168,401,1084,762,526,1670
Bh,1011,143,218,900,976,1188,135,227,1275,1576
Bo,175,1483,1282,1295,854,1452,1009,2591,306,1692
Br,848,1571,112,725,2926,2675,242,1538,535,994
Bt,1215,962,2497,489,511,1702,730,976,2032,907
Bv,1234,2231,2451,732,1281,840,908,1407,1083,752
Bx,482,2769,426,913,1258,328,521,838,656,99
B0,72,495,702,1009,787,1137,64,168,173,202
B7,776,579,157,379,931,402,747,1240,1080,2263
B8,1385,52,1497,574,2559,1896,1713,875,3032,1201
CB,375,3431,374,639,755,2362,1754,271,1825,1086
CF,440,1673,441,814,869,177,567,247,499,870
CG,1048,241,479,1413,1321,1092,2260,1218,1395,1476
CH,2213,574,553,2172,990,1032,82,89,1030,783
CK,21,1249,1400,1451,955,1514,700,2864,719,1515
CP,922,174,548,790,850,1623,1115,801,2037,313
CS,398,1674,993,1842,377,221,1148,979,1200,567
CT,1962,789,1382,141,326,648,557,902,87,1787
CZ,249,803,1126,171,1668,1593,547,1117,1754,578
Cb,330,2289,1258,901,539,1227,519,1200,453,873
Ce,53,1930,34,662,1527,646,600,833,171,1634
Cg,948,353,666,1713,1658,1014,1569,313,988,2403
Du,598,1554,1314,113,294,3260,880,1091,37,1099
Cq,34,879,807,1209,2363,1777,1306,1145,477,170
Cs,805,435,801,1290,348,749,1919,113,1560,764
Cz,2355,1814,1230,901,252,356,924,3206,376,516
C1,2604,980,2248,550,1187,537,2434,1428,1819,1056
C4,546,1281,1298,559,2139,816,946,359,266,1012
C5,776,670,1310,552,309,1341,542,1464,132,1800
C8,221,1759,931,731,1172,1800,183,404,1583,1193
C9,1164,549,985,1208,766,2,97,306,1065,1343
DA,959,922,200,1087,341,1978,1016,468,676,225
DD,122,1106,580,1120,729,898,653,225,992,844
DE,1035,1444,1532,105,686,821,508,1321,49,496
DF,182,1222,686,361,2016,271,882,365,337,1452
DJ,2778,761,2323,762,3378,1267,2330,615,1413,286
DK,984,645,3777,1055,1956,934,1024,2956,2518,2142
Dv,613,2229,311,1732,3055,1026,841,444,1845,558
DN,93,3307,914,732,2033,2101,4869,2150,2348,499
DP,1738,395,311,1430,37,1006,1039,2107,588,198
DU,2049,64,747,2385,1935,1447,2670,1033,1673,786
DV,1937,1364,1220,553,3818,529,2802,2549,342,673
DW,2119,73,3483,1254,3332,1222,1965,792,82,145
Dw,1435,542,2052,325,943,713,154,1513,2396,793
DZ,505,214,519,887,388,1588,168,1293,522,1787
Db,680,467,1416,232,1435,1835,165,1137,268,623
Dh,428,1380,2045,771,699,264,779,1109,1544,834
Dx,1258,2910,558,1185,1533,1292,2065,783,932,1039
Dj,970,814,2592,733,782,1945,744,464,794,1047
Dm,1628,1971,66,530,627,927,2186,89,1114,1184
